TICKET_CREATED_TS,TICKET_DETAIL,INCIDENT_ADDRESS,GEO_LONG,GEO_LAT,SERVICE_ITEM
2026-07-09T19:31:44Z,Overgrown vegetation is blocking the walking track through Brooklyn park,"Todman Street, Brooklyn, Wellington",174.76573,-41.30291,Park or reserve
2026-07-09T20:10:53Z,"Group of e-bike riders have been performing dangerous manoeuvres near Willis Street, CBD","Willis Street, CBD, Wellington",174.7704,-41.28979,Riding Behaviour
2026-07-09T20:42:48Z,"Formal LGOIMA request for information on rates valuations for the property on Hill Street, Thorndon","Hill Street, Thorndon, Wellington",174.78533,-41.26117,LGOIMA - Property
2026-07-09T22:30:51Z,"Continuous rain has flooded the low section of Harbour View Road in Brooklyn, water is rising rapidly","Harbour View Road, Brooklyn, Wellington",174.75473,-41.31679,flooding
2026-07-09T22:35:47Z,"Graffiti has appeared on the community noticeboard on Croydon Street, Brooklyn","Croydon Street, Brooklyn, Wellington",174.7265,-41.25937,Brooklyn
2026-07-09T22:50:24Z,"Strong northerly gusts overnight have brought down fence panels and outdoor furniture on Riddiford Street, Newtown","Riddiford Street, Newtown, Wellington",174.78844,-41.3062,Weather event
2026-07-09T22:58:38Z,Street sign on Hankey Street near Pipitea has fallen over and is partially blocking the footpath,"Hankey Street, Pipitea, Wellington",174.78279,-41.29602,Pipitea
2026-07-09T22:59:12Z,"Abandoned e-scooter has been left in the middle of the footpath on Aro Street, Aro Valley","Aro Street, Aro Valley, Wellington",174.77643,-41.29432,Inquiry for a Micro-mobility Officer
2026-07-09T23:08:08Z,"Strong northerly gusts overnight have brought down fence panels and outdoor furniture on Todman Street, Brooklyn","Todman Street, Brooklyn, Wellington",174.76918,-41.28893,Weather event
2026-07-09T23:42:20Z,"A nearby stream has burst its banks near Molesworth Street, Pipitea, flooding the road and adjoining properties","Molesworth Street, Pipitea, Wellington",174.76479,-41.27765,flooding
2026-07-09T23:54:13Z,Loose paving stones on Miramar Avenue near Pipitea have become uneven and are creating a trip hazard,"Miramar Avenue, Pipitea, Wellington",174.83126,-41.31437,Pipitea
2026-07-10T00:03:43Z,Street sign on Manners Street near Pipitea has fallen over and is partially blocking the footpath,"Manners Street, Pipitea, Wellington",174.77929,-41.29487,Pipitea
2026-07-10T00:10:43Z,"Strong northerly gusts overnight have brought down fence panels and outdoor furniture on Constable Street, Newtown","Constable Street, Newtown, Wellington",174.78771,-41.31854,Weather event
2026-07-10T00:12:30Z,Surface flooding on Hay Street near Mount Victoria is making the intersection impassable for small vehicles,"Hay Street, Mount Victoria, Wellington",174.8,-41.28296,flooding
2026-07-10T00:27:15Z,Overflowing rubbish bin at the Brooklyn shops on Roxburgh Street hasn't been emptied in over a week,"Roxburgh Street, Brooklyn, Wellington",174.77373,-41.3054,Brooklyn
2026-07-10T00:57:30Z,"Retaining wall next to Hay Street has partially collapsed, spilling debris onto the road following the earlier flooding","Hay Street, Mount Victoria, Wellington",174.79994,-41.28337,Slips
2026-07-10T00:59:24Z,"A nearby stream has burst its banks near Constable Street, Newtown, flooding the road and adjoining properties","Constable Street, Newtown, Wellington",174.7688,-41.30224,flooding
2026-07-10T02:05:00Z,"Strong northerly gusts overnight have brought down fence panels and outdoor furniture on Chelsea Street, Miramar","Chelsea Street, Miramar, Wellington",174.81571,-41.31471,Weather event
2026-07-10T02:54:44Z,Surface flooding on Cleveland Street near Brooklyn is making the intersection impassable for small vehicles,"Cleveland Street, Brooklyn, Wellington",174.74921,-41.3038,flooding
2026-07-10T03:12:59Z,"Strong northerly gusts overnight have brought down fence panels and outdoor furniture on Murphy Street, Thorndon","Murphy Street, Thorndon, Wellington",174.77773,-41.29139,Weather event
